route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
"102",MPK,"102","102",,3,,FFFFFF,000000,1,,
"104",MPK,"104","104",,3,,FFFFFF,000000,2,,
"105",MPK,"105","105",,3,,FFFFFF,000000,3,,
"107",MPK,"107","107",,3,,FFFFFF,000000,4,,
"111",MPK,"111","111",,3,,FFFFFF,000000,5,,
"112",MPK,"112","112",,3,,FFFFFF,000000,6,,
"120",MPK,"120","120",,3,,FFFFFF,000000,7,,
"121",MPK,"121","121",,3,,FFFFFF,000000,8,,
"122",MPK,"122","122",,3,,FFFFFF,000000,9,,
"123",MPK,"123","123",,3,,FFFFFF,000000,10,,
"124",MPK,"124","124",,3,,FFFFFF,000000,11,,
"125",MPK,"125","125",,3,,FFFFFF,000000,12,,
"126",MPK,"126","126",,3,,FFFFFF,000000,13,,
"127",MPK,"127","127",,3,,FFFFFF,000000,14,,
"128",MPK,"128","128",,3,,FFFFFF,000000,15,,
"130",MPK,"130","130",,3,,FFFFFF,000000,16,,
"132",MPK,"132","132",,3,,FFFFFF,000000,17,,
"134",MPK,"134","134",,3,,FFFFFF,000000,18,,
"137",MPK,"137","137",,3,,FFFFFF,000000,19,,
"138",MPK,"138","138",,3,,FFFFFF,000000,20,,
"139",MPK,"139","139",,3,,FFFFFF,000000,21,,
"140",MPK,"140","140",,3,,FFFFFF,000000,22,,
"144",MPK,"144","144",,3,,FFFFFF,000000,23,,
"148",MPK,"148","148",,3,,FFFFFF,000000,24,,
"149",MPK,"149","149",,3,,FFFFFF,000000,25,,
"150",MPK,"150","150",,3,,FFFFFF,000000,26,,
"151",MPK,"151","151",,3,,FFFFFF,000000,27,,
"153",MPK,"153","153",,3,,FFFFFF,000000,28,,
"155",MPK,"155","155",,3,,FFFFFF,000000,29,,
"158",MPK,"158","158",,3,,FFFFFF,000000,30,,
"160",MPK,"160","160",,3,,FFFFFF,000000,31,,
"161",MPK,"161","161",,3,,FFFFFF,000000,32,,
"162",MPK,"162","162",,3,,FFFFFF,000000,33,,
"164",MPK,"164","164",,3,,FFFFFF,000000,34,,
"168",MPK,"168","168",,3,,FFFFFF,000000,35,,
"169",MPK,"169","169",,3,,FFFFFF,000000,36,,
"171",MPK,"171","171",,3,,FFFFFF,000000,37,,
"173",MPK,"173","173",,3,,FFFFFF,000000,38,,
"174",MPK,"174","174",,3,,FFFFFF,000000,39,,
"175",MPK,"175","175",,3,,FFFFFF,000000,40,,
"176",MPK,"176","176",,3,,FFFFFF,000000,41,,
"179",MPK,"179","179",,3,,FFFFFF,000000,42,,
"182",MPK,"182","182",,3,,FFFFFF,000000,43,,
"189",MPK,"189","189",,3,,FFFFFF,000000,44,,
"192",MPK,"192","192",,3,,FFFFFF,000000,45,,
"194",MPK,"194","194",,3,,FFFFFF,000000,46,,
"195",MPK,"195","195",,3,,FFFFFF,000000,47,,
"199",MPK,"199","199",,3,,FFFFFF,000000,48,,
"200",MPK,"200","200",,3,,FFFFFF,000000,49,,
"202",MPK,"202","202",,3,,FFFFFF,000000,50,,
"203",MPK,"203","203",,3,,FFFFFF,000000,51,,
"204",MPK,"204","204",,3,,FFFFFF,000000,52,,
"207",MPK,"207","207",,3,,FFFFFF,000000,53,,
"209",MPK,"209","209",,3,,FFFFFF,000000,54,,
"210",MPK,"210","210",,3,,FFFFFF,000000,55,,
"211",MPK,"211","211",,3,,FFFFFF,000000,56,,
"212",MPK,"212","212",,3,,FFFFFF,000000,57,,
"214",MPK,"214","214",,3,,FFFFFF,000000,58,,
"215",MPK,"215","215",,3,,FFFFFF,000000,59,,
"217",MPK,"217","217",,3,,FFFFFF,000000,60,,
"218",MPK,"218","218",,3,,FFFFFF,000000,61,,
"219",MPK,"219","219",,3,,FFFFFF,000000,62,,
"220",MPK,"220","220",,3,,FFFFFF,000000,63,,
"221",MPK,"221","221",,3,,FFFFFF,000000,64,,
"222",MPK,"222","222",,3,,FFFFFF,000000,65,,
"223",MPK,"223","223",,3,,FFFFFF,000000,66,,
"224",MPK,"224","224",,3,,FFFFFF,000000,67,,
"225",MPK,"225","225",,3,,FFFFFF,000000,68,,
"227",MPK,"227","227",,3,,FFFFFF,000000,69,,
"228",MPK,"228","228",,3,,FFFFFF,000000,70,,
"229",MPK,"229","229",,3,,FFFFFF,000000,71,,
"230",MPK,"230","230",,3,,FFFFFF,000000,72,,
"232",MPK,"232","232",,3,,FFFFFF,000000,73,,
"233",MPK,"233","233",,3,,FFFFFF,000000,74,,
"234",MPK,"234","234",,3,,FFFFFF,000000,75,,
"235",MPK,"235","235",,3,,FFFFFF,000000,76,,
"238",MPK,"238","238",,3,,FFFFFF,000000,77,,
"239",MPK,"239","239",,3,,FFFFFF,000000,78,,
"240",MPK,"240","240",,3,,FFFFFF,000000,79,,
"242",MPK,"242","242",,3,,FFFFFF,000000,80,,
"243",MPK,"243","243",,3,,FFFFFF,000000,81,,
"244",MPK,"244","244",,3,,FFFFFF,000000,82,,
"245",MPK,"245","245",,3,,FFFFFF,000000,83,,
"247",MPK,"247","247",,3,,FFFFFF,000000,84,,
"248",MPK,"248","248",,3,,FFFFFF,000000,85,,
"249",MPK,"249","249",,3,,FFFFFF,000000,86,,
"250",MPK,"250","250",,3,,FFFFFF,000000,87,,
"253",MPK,"253","253",,3,,FFFFFF,000000,88,,
"254",MPK,"254","254",,3,,FFFFFF,000000,89,,
"255",MPK,"255","255",,3,,FFFFFF,000000,90,,
"257",MPK,"257","257",,3,,FFFFFF,000000,91,,
"258",MPK,"258","258",,3,,FFFFFF,000000,92,,
"259",MPK,"259","259",,3,,FFFFFF,000000,93,,
"260",MPK,"260","260",,3,,FFFFFF,000000,94,,
"262",MPK,"262","262",,3,,FFFFFF,000000,95,,
"264",MPK,"264","264",,3,,FFFFFF,000000,96,,
"265",MPK,"265","265",,3,,FFFFFF,000000,97,,
"267",MPK,"267","267",,3,,FFFFFF,000000,98,,
"268",MPK,"268","268",,3,,FFFFFF,000000,99,,
"269",MPK,"269","269",,3,,FFFFFF,000000,100,,
"270",MPK,"270","270",,3,,FFFFFF,000000,101,,
"271",MPK,"271","271",,3,,FFFFFF,000000,102,,
"272",MPK,"272","272",,3,,FFFFFF,000000,103,,
"273",MPK,"273","273",,3,,FFFFFF,000000,104,,
"274",MPK,"274","274",,3,,FFFFFF,000000,105,,
"275",MPK,"275","275",,3,,FFFFFF,000000,106,,
"277",MPK,"277","277",,3,,FFFFFF,000000,107,,
"278",MPK,"278","278",,3,,FFFFFF,000000,108,,
"279",MPK,"279","279",,3,,FFFFFF,000000,109,,
"280",MPK,"280","280",,3,,FFFFFF,000000,110,,
"283",MPK,"283","283",,3,,FFFFFF,000000,111,,
"284",MPK,"284","284",,3,,FFFFFF,000000,112,,
"285",MPK,"285","285",,3,,FFFFFF,000000,113,,
"288",MPK,"288","288",,3,,FFFFFF,000000,114,,
"290",MPK,"290","290",,3,,FFFFFF,000000,115,,
"293",MPK,"293","293",,3,,FFFFFF,000000,116,,
"295",MPK,"295","295",,3,,FFFFFF,000000,117,,
"297",MPK,"297","297",,3,,FFFFFF,000000,118,,
"298",MPK,"298","298",,3,,FFFFFF,000000,119,,
"300",MPK,"300","300",,3,,FFFFFF,000000,120,,
"301",MPK,"301","301",,3,,FFFFFF,000000,121,,
"304",MPK,"304","304",,3,,FFFFFF,000000,122,,
"307",MPK,"307","307",,3,,FFFFFF,000000,123,,
"310",MPK,"310","310",,3,,FFFFFF,000000,124,,
"317",MPK,"317","317",,3,,FFFFFF,000000,125,,
"337",MPK,"337","337",,3,,FFFFFF,000000,126,,
"405",MPK,"405","405",,3,,FFFFFF,000000,127,,
"424",MPK,"424","424",,3,,FFFFFF,000000,128,,
"427",MPK,"427","427",,3,,FFFFFF,000000,129,,
"434",MPK,"434","434",,3,,FFFFFF,000000,130,,
"469",MPK,"469","469",,3,,FFFFFF,000000,131,,
"475",MPK,"475","475",,3,,FFFFFF,000000,132,,
"476",MPK,"476","476",,3,,FFFFFF,000000,133,,
"482",MPK,"482","482",,3,,FFFFFF,000000,134,,
"494",MPK,"494","494",,3,,FFFFFF,000000,135,,
"497",MPK,"497","497",,3,,FFFFFF,000000,136,,
"503",MPK,"503","503",,3,,FFFFFF,000000,137,,
"511",MPK,"511","511",,3,,FFFFFF,000000,138,,
"513",MPK,"513","513",,3,,FFFFFF,000000,139,,
"572",MPK,"572","572",,3,,FFFFFF,000000,140,,
"601",MPK,"601","601",,3,,000000,FFFFFF,141,,
"605",MPK,"605","605",,3,,000000,FFFFFF,142,,
"608",MPK,"608","608",,3,,000000,FFFFFF,143,,
"609",MPK,"609","609",,3,,000000,FFFFFF,144,,
"610",MPK,"610","610",,3,,FFFFFF,000000,145,,
"611",MPK,"611","611",,3,,FFFFFF,000000,146,,
"662",MPK,"662","662",,3,,FFFFFF,000000,147,,
"664",MPK,"664","664",,3,,FFFFFF,000000,148,,
"669",MPK,"669","669",,3,,FFFFFF,000000,149,,
"704",MPK,"704","704",,3,,FFFFFF,000000,150,,
"708",MPK,"708","708",,3,,FFFFFF,000000,151,,
"712",MPK,"712","712",,3,,FFFFFF,000000,152,,
"902",MPK,"902","902",,3,,000000,FFFFFF,153,,
"903",MPK,"903","903",,3,,000000,FFFFFF,154,,
"904",MPK,"904","904",,3,,000000,FFFFFF,155,,
"910",MPK,"910","910",,3,,000000,FFFFFF,156,,
"915",MPK,"915","915",,3,,000000,FFFFFF,157,,
"917",MPK,"917","917",,3,,000000,FFFFFF,158,,
"918",MPK,"918","918",,3,,000000,FFFFFF,159,,
"937",MPK,"937","937",,3,,000000,FFFFFF,160,,
"948",MPK,"948","948",,3,,000000,FFFFFF,161,,
"LR0",MPK,"LR0","LR0",,3,,FFFFFF,000000,162,,
