stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
18057,100-03,"AKF / PK","03",50.074030,19.997610,1,,0,,,0,
18056,100-04,"AKF / PK","04",50.073810,19.998140,1,,0,,,0,
9118,101-03,"Stella-Sawickiego","03",50.074500,20.005370,1,,0,,,0,
7454,101-04,"Stella-Sawickiego","04",50.074090,20.005310,1,,0,,,0,
12883,102-03,"Czyżyny","03",50.074170,20.011280,1,,0,,,0,
12881,102-04,"Czyżyny","04",50.073800,20.012490,1,,0,,,0,
12975,103-05,"Rondo Czyżyńskie","05",50.073820,20.016490,1,,0,,,0,
13023,103-06,"Rondo Czyżyńskie","06",50.074330,20.018570,1,,0,,,0,
12974,103-08,"Rondo Czyżyńskie","08",50.073010,20.018920,1,,0,,,0,
13789,103-10,"Rondo Czyżyńskie","10",50.072460,20.016640,1,,0,,,0,
12907,104-03,"Os. Kolorowe","03",50.072490,20.028500,1,,0,,,0,
12898,104-04,"Os. Kolorowe","04",50.072040,20.029880,1,,0,,,0,
18314,105-06,"Plac Centralny im. R. Reagana","06",50.073130,20.036340,1,,0,,,0,
18297,105-09,"Plac Centralny im. R. Reagana","09",50.071840,20.035520,1,,0,,,0,
18296,105-05,"Plac Centralny im. R. Reagana","05",50.072440,20.038810,1,,0,,,0,
18291,105-07,"Plac Centralny im. R. Reagana","07",50.071100,20.038640,1,,0,,,0,
7951,106-03,"Struga","03",50.074780,20.047630,1,,0,,,0,
8027,106-04,"Struga","04",50.075030,20.047550,1,,0,,,0,
9895,106-05,"Struga","05",50.075120,20.046510,1,,0,,,0,
12910,106-06,"Struga","06",50.074650,20.046120,1,,0,,,0,
13724,106-08,"Struga","08",50.074410,20.047150,1,,0,,,0,
13018,107-04,"Kombinat","04",50.079390,20.064950,1,,0,,,0,
13019,107-05,"Kombinat","05",50.079210,20.066320,1,,0,,,0,
13752,107-09,"Kombinat","09",50.078570,20.066450,1,,0,,,0,
13616,108-03,"Mrozowa","03",50.084220,20.072210,1,,0,,,0,
13615,108-04,"Mrozowa","04",50.084200,20.072340,1,,0,,,0,
13617,109-03,"Blokowa","03",50.085170,20.074240,1,,0,,,0,
13620,109-04,"Blokowa","04",50.085880,20.073830,1,,0,,,0,
12888,112-04,"TAURON Arena Kraków Al. Pokoju","04",50.064060,19.987040,1,,0,,,0,
12887,112-05,"TAURON Arena Kraków Al. Pokoju","05",50.064200,19.990360,1,,0,,,0,
11514,112-03,"TAURON Arena Kraków Al. Pokoju","03",50.064840,19.989390,1,,0,,,0,
17919,113-01,"Arctowskiego","01",50.056980,20.001710,1,,0,,,0,
17913,113-02,"Arctowskiego","02",50.056460,20.000380,1,,0,,,0,
17938,113-04,"Arctowskiego","04",50.056350,20.001370,1,,0,,,0,
17912,114-01,"Centralna","01",50.064010,20.004040,1,,0,,,0,
17911,114-02,"Centralna","02",50.063090,20.003530,1,,0,,,0,
12876,115-05,"Rondo 308. Dywizjonu","05",50.067120,20.005730,1,,0,,,0,
12880,115-06,"Rondo 308. Dywizjonu","06",50.067890,20.007030,1,,0,,,0,
17915,116-03,"Gałczyńskiego","03",50.069240,20.013030,1,,0,,,0,
17914,116-04,"Gałczyńskiego","04",50.068810,20.012450,1,,0,,,0,
17916,116-06,"Gałczyńskiego","06",50.069600,20.012630,1,,0,,,0,
12931,117-03,"Bieńczycka","03",50.076450,20.021580,1,,0,,,0,
12932,117-04,"Bieńczycka","04",50.076310,20.021980,1,,0,,,0,
18332,118-07,"Rondo Kocmyrzowskie im. ks. Gorzelanego","07",50.078940,20.026080,1,,0,,,0,
18328,118-08,"Rondo Kocmyrzowskie im. ks. Gorzelanego","08",50.079970,20.028750,1,,0,,,0,
18295,118-06,"Rondo Kocmyrzowskie im. ks. Gorzelanego","06",50.080350,20.026710,1,,0,,,0,
18292,118-05,"Rondo Kocmyrzowskie im. ks. Gorzelanego","05",50.078810,20.028100,1,,0,,,0,
10015,119-03,"Teatr Ludowy","03",50.082070,20.032000,1,,0,,,0,
10016,119-04,"Teatr Ludowy","04",50.082210,20.032980,1,,0,,,0,
12909,119-05,"Teatr Ludowy","05",50.081030,20.034060,1,,0,,,0,
12900,119-06,"Teatr Ludowy","06",50.081300,20.033400,1,,0,,,0,
12904,120-03,"Cienista","03",50.085650,20.038770,1,,0,,,0,
12897,120-04,"Cienista","04",50.085490,20.039170,1,,0,,,0,
7984,121-03,"Wańkowicza","03",50.087200,20.047650,1,,0,,,0,
8770,121-04,"Wańkowicza","04",50.086870,20.045930,1,,0,,,0,
12905,121-05,"Wańkowicza","05",50.088240,20.047190,1,,0,,,0,
12923,121-06,"Wańkowicza","06",50.086560,20.047320,1,,0,,,0,
7971,123-03,"Darwina","03",50.090330,20.059810,1,,0,,,0,
7959,123-04,"Darwina","04",50.090160,20.060230,1,,0,,,0,
18293,124-03,"Jarzębiny","03",50.092070,20.060250,1,,0,,,0,
18294,124-04,"Jarzębiny","04",50.091910,20.060560,1,,0,,,0,
7964,125-02,"Wzgórza Krzesławickie","02",50.095460,20.065490,1,,0,,,0,
7965,125-03,"Wzgórza Krzesławickie","03",50.094930,20.064590,1,,0,,,0,
13058,125-05,"Wzgórza Krzesławickie","05",50.095820,20.063840,1,,0,,,0,
17680,126-01,"Jubileuszowa","01",50.101320,20.069390,1,,0,,,0,
17679,126-02,"Jubileuszowa","02",50.101390,20.069580,1,,0,,,0,
12341,127-01,"Morcinka","01",50.103700,20.072040,1,,0,,,0,
12342,127-02,"Morcinka","02",50.104440,20.072990,1,,0,,,0,
12360,127-03,"Morcinka","03",50.104120,20.071210,1,,0,,,0,
12361,127-04,"Morcinka","04",50.104040,20.071920,1,,0,,,0,
10510,128-01,"Kantorowice","01",50.104220,20.061820,1,,0,,,0,
10511,128-02,"Kantorowice","02",50.104150,20.061790,1,,0,,,0,
9982,129-01,"Zesławice Ogródki Działkowe","01",50.105920,20.048730,1,,0,,,0,
9983,129-02,"Zesławice Ogródki Działkowe","02",50.105650,20.049670,1,,0,,,0,
