route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"102",20260629_1,20260629_1_125919888_2,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919889_3,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919890_4,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919891_5,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919892_6,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919893_7,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919894_8,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919895_9,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919896_10,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919897_11,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919898_12,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919899_13,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919900_14,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919901_15,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919902_16,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919903_17,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919904_18,"Bielany",,0,102-01,266828,0,0
"102",20260629_1,20260629_1_125919905_19,"Krowodrza Górka P+R",,1,102-01,266832,0,0
"102",20260629_1,20260629_1_125919908_2,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919909_3,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919910_4,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919911_5,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919912_6,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919913_7,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919914_8,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919915_9,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919916_10,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919917_11,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919918_12,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919919_13,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919920_14,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919921_15,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919922_16,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919923_17,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919924_18,"Bielany",,0,102-02,266828,0,0
"102",20260629_1,20260629_1_125919925_19,"Krowodrza Górka P+R",,1,102-02,266832,0,0
"102",20260629_1,20260629_1_125919928_2,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919929_3,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919930_4,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919931_5,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919932_6,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919933_7,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919934_8,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919935_9,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919936_10,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919937_11,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919938_12,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919939_13,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919940_14,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919941_15,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919942_16,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919943_17,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919944_18,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919945_19,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919946_20,"Bielany",,0,102-03,266828,0,0
"102",20260629_1,20260629_1_125919947_21,"Krowodrza Górka P+R",,1,102-03,266832,0,0
"102",20260629_1,20260629_1_125919950_2,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919951_3,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919952_4,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919953_5,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919954_6,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919955_7,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919956_8,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919957_9,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919958_10,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919959_11,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919960_12,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919961_13,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919962_14,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919963_15,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919964_16,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919965_17,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"102",20260629_1,20260629_1_125919966_18,"Bielany",,0,102-04,266828,0,0
"102",20260629_1,20260629_1_125919967_19,"Krowodrza Górka P+R",,1,102-04,266832,0,0
"104",20260629_1,20260629_1_125920033_2,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920034_3,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920035_4,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920036_5,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920037_6,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920038_7,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920039_8,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920040_9,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920041_10,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920042_11,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920043_12,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920044_13,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920045_14,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920046_15,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920047_16,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920048_17,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920049_18,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920050_19,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920051_20,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920052_21,"Swoszowice SKA P+R",,1,104-01,268841,0,0
"104",20260629_1,20260629_1_125920053_22,"Czerwone Maki P+R",,0,104-01,268843,0,0
"104",20260629_1,20260629_1_125920054_23,"Swoszowice SKA P+R",,1,104-01,268841,0,0
