service_id,date,exception_type
1634_SO,20260627,1
1634_SW,20260628,1
1634_PO,20260629,1
1635_PO,20260630,1
1635_PO,20260701,1
1635_CZ,20260702,1
1635_PT,20260703,1
1635_SO,20260704,1
1635_SW,20260705,1
1635_PO,20260706,1
1635_PO,20260707,1
1635_PO,20260708,1
1635_CZ,20260709,1
1635_PT,20260710,1
1635_SO,20260711,1
1635_SW,20260712,1
1635_PO,20260713,1
1635_PO,20260714,1
1635_PO,20260715,1
1635_CZ,20260716,1
1635_PT,20260717,1
1635_SO,20260718,1
1635_SW,20260719,1
1635_PO,20260720,1
1635_PO,20260721,1
1635_PO,20260722,1
1635_CZ,20260723,1
1635_PT,20260724,1
1635_SO,20260725,1
1635_SW,20260726,1
1635_PO,20260727,1
1635_PO,20260728,1
1635_PO,20260729,1
1635_CZ,20260730,1
1635_PT,20260731,1
1635_SO,20260801,1
1635_SW,20260802,1
1635_PO,20260803,1
1635_PO,20260804,1
1635_PO,20260805,1
1635_CZ,20260806,1
1635_PT,20260807,1
1635_SO,20260808,1
1635_SW,20260809,1
1635_PO,20260810,1
1635_PO,20260811,1
1635_PO,20260812,1
1635_CZ,20260813,1
1635_PT,20260814,1
1635_SW,20260815,1
1635_SW,20260816,1
1635_PO,20260817,1
1635_PO,20260818,1
1635_PO,20260819,1
1635_CZ,20260820,1
1635_PT,20260821,1
1635_SO,20260822,1
1635_SW,20260823,1
1635_PO,20260824,1
1635_PO,20260825,1
1635_PO,20260826,1
1635_CZ,20260827,1
1635_PT,20260828,1
1635_SO,20260829,1
1635_SW,20260830,1
1635_PO,20260831,1
1635_PO,20260901,1
1635_PO,20260902,1
1635_CZ,20260903,1
1635_PT,20260904,1
1635_SO,20260905,1
1635_SW,20260906,1
1635_PO,20260907,1
1635_PO,20260908,1
1635_PO,20260909,1
1635_CZ,20260910,1
1635_PT,20260911,1
1635_SO,20260912,1
1635_SW,20260913,1
1635_PO,20260914,1
1635_PO,20260915,1
1635_PO,20260916,1
1635_CZ,20260917,1
1635_PT,20260918,1
1635_SO,20260919,1
1635_SW,20260920,1
1635_PO,20260921,1
1635_PO,20260922,1
1635_PO,20260923,1
1635_CZ,20260924,1
1635_PT,20260925,1
1635_SO,20260926,1
1635_SW,20260927,1
1635_PO,20260928,1
1635_PO,20260929,1
1635_PO,20260930,1
1635_CZ,20261001,1
1635_PT,20261002,1
1635_SO,20261003,1
1635_SW,20261004,1
1635_PO,20261005,1
1635_PO,20261006,1
1635_PO,20261007,1
1635_CZ,20261008,1
1635_PT,20261009,1
1635_SO,20261010,1
1635_SW,20261011,1
1635_PO,20261012,1
1635_PO,20261013,1
1635_PO,20261014,1
1635_CZ,20261015,1
1635_PT,20261016,1
1635_SO,20261017,1
1635_SW,20261018,1
1635_PO,20261019,1
1635_PO,20261020,1
1635_PO,20261021,1
1635_CZ,20261022,1
1635_PT,20261023,1
1635_SO,20261024,1
1635_SW,20261025,1
1635_PO,20261026,1
1635_PO,20261027,1
1635_PO,20261028,1
1635_CZ,20261029,1
1635_PT,20261030,1
1635_SO,20261031,1
1635_SW,20261101,1
1635_PO,20261102,1
1635_PO,20261103,1
1635_PO,20261104,1
1635_CZ,20261105,1
1635_PT,20261106,1
1635_SO,20261107,1
1635_SW,20261108,1
1635_PO,20261109,1
1635_PO,20261110,1
1635_SW,20261111,1
1635_CZ,20261112,1
1635_PT,20261113,1
1635_SO,20261114,1
1635_SW,20261115,1
1635_PO,20261116,1
1635_PO,20261117,1
1635_PO,20261118,1
1635_CZ,20261119,1
1635_PT,20261120,1
1635_SO,20261121,1
1635_SW,20261122,1
1635_PO,20261123,1
1635_PO,20261124,1
1635_PO,20261125,1
1635_CZ,20261126,1
1635_PT,20261127,1
1635_SO,20261128,1
1635_SW,20261129,1
1635_PO,20261130,1
1635_PO,20261201,1
1635_PO,20261202,1
1635_CZ,20261203,1
1635_PT,20261204,1
1635_SO,20261205,1
1635_SW,20261206,1
1635_PO,20261207,1
1635_PO,20261208,1
1635_PO,20261209,1
1635_CZ,20261210,1
1635_PT,20261211,1
1635_SO,20261212,1
1635_SW,20261213,1
1635_PO,20261214,1
1635_PO,20261215,1
1635_PO,20261216,1
1635_CZ,20261217,1
1635_PT,20261218,1
1635_SO,20261219,1
1635_SW,20261220,1
1635_PO,20261221,1
1635_PO,20261222,1
1635_PO,20261223,1
1635_SW,20261224,1
1635_SW,20261225,1
1635_SW,20261226,1
1635_SW,20261227,1
1635_PO,20261228,1
1635_PO,20261229,1
1635_PO,20261230,1
1635_CZ,20261231,1
1635_SW,20270101,1
1635_SO,20270102,1
1635_SW,20270103,1
1635_PO,20270104,1
1635_PO,20270105,1
1635_SW,20270106,1
1635_CZ,20270107,1
1635_PT,20270108,1
1635_SO,20270109,1
1635_SW,20270110,1
1635_PO,20270111,1
1635_PO,20270112,1
1635_PO,20270113,1
1635_CZ,20270114,1
1635_PT,20270115,1
1635_SO,20270116,1
1635_SW,20270117,1
1635_PO,20270118,1
1635_PO,20270119,1
1635_PO,20270120,1
1635_CZ,20270121,1
1635_PT,20270122,1
1635_SO,20270123,1
1635_SW,20270124,1
1635_PO,20270125,1
1635_PO,20270126,1
1635_PO,20270127,1
1635_CZ,20270128,1
1635_PT,20270129,1
1635_SO,20270130,1
1635_SW,20270131,1
