route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
"100",Mobilis,"100",,,3,,FFFFFF,000000,1,,
"101",Mobilis,"101",,,3,,FFFFFF,000000,2,,
"103",Mobilis,"103",,,3,,FFFFFF,000000,3,,
"106",Mobilis,"106",,,3,,FFFFFF,000000,4,,
"108",Mobilis,"108",,,3,,FFFFFF,000000,5,,
"109",Mobilis,"109",,,3,,FFFFFF,000000,6,,
"110",Mobilis,"110",,,3,,FFFFFF,000000,7,,
"113",Mobilis,"113",,,3,,FFFFFF,000000,8,,
"129",Mobilis,"129",,,3,,FFFFFF,000000,9,,
"131",Mobilis,"131",,,3,,FFFFFF,000000,10,,
"133",Mobilis,"133",,,3,,FFFFFF,000000,11,,
"135",Mobilis,"135",,,3,,FFFFFF,000000,12,,
"136",Mobilis,"136",,,3,,FFFFFF,000000,13,,
"141",Mobilis,"141",,,3,,FFFFFF,000000,14,,
"142",Mobilis,"142",,,3,,FFFFFF,000000,15,,
"143",Mobilis,"143",,,3,,FFFFFF,000000,16,,
"147",Mobilis,"147",,,3,,FFFFFF,000000,17,,
"152",Mobilis,"152",,,3,,FFFFFF,000000,18,,
"159",Mobilis,"159",,,3,,FFFFFF,000000,19,,
"163",Mobilis,"163",,,3,,FFFFFF,000000,20,,
"172",Mobilis,"172",,,3,,FFFFFF,000000,21,,
"178",Mobilis,"178",,,3,,FFFFFF,000000,22,,
"180",Mobilis,"180",,,3,,FFFFFF,000000,23,,
"181",Mobilis,"181",,,3,,FFFFFF,000000,24,,
"183",Mobilis,"183",,,3,,FFFFFF,000000,25,,
"184",Mobilis,"184",,,3,,FFFFFF,000000,26,,
"193",Mobilis,"193",,,3,,FFFFFF,000000,27,,
"196",Mobilis,"196",,,3,,FFFFFF,000000,28,,
"198",Mobilis,"198",,,3,,FFFFFF,000000,29,,
"352",Mobilis,"352",,,3,,FFFFFF,000000,30,,
"442",Mobilis,"442",,,3,,FFFFFF,000000,31,,
"496",Mobilis,"496",,,3,,FFFFFF,000000,32,,
"501",Mobilis,"501",,,3,,FFFFFF,000000,33,,
"502",Mobilis,"502",,,3,,FFFFFF,000000,34,,
"578",Mobilis,"578",,,3,,FFFFFF,000000,35,,
"603",Mobilis,"603",,,3,,000000,FFFFFF,36,,
"612",Mobilis,"612",,,3,,000000,FFFFFF,37,,
"LR2",Mobilis,"LR2",,,3,,FFFFFF,000000,38,,
