stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12,101-05,"Stella-Sawickiego","05",50.073580,20.003430,1,,0,,,0
13,101-06,"Stella-Sawickiego","06",50.074870,20.003690,1,,0,,,0
14,101-08,"Stella-Sawickiego","08",50.076530,20.003590,1,,0,,,0
17,102-03,"Czyżyny","03",50.074170,20.011230,1,,0,,,0
23,103-05,"Rondo Czyżyńskie","05",50.073820,20.016490,1,,0,,,0
24,103-06,"Rondo Czyżyńskie","06",50.074330,20.018570,1,,0,,,0
26,103-10,"Rondo Czyżyńskie","10",50.072460,20.016640,1,,0,,,0
42,106-03,"Struga","03",50.074770,20.047580,1,,0,,,0
45,106-06,"Struga","06",50.074650,20.046120,1,,0,,,0
50,107-04,"Kombinat","04",50.079350,20.064530,1,,0,,,0
51,107-05,"Kombinat","05",50.079140,20.066330,1,,0,,,0
52,107-09,"Kombinat","09",50.078720,20.066530,1,,0,,,0
54,108-03,"Mrozowa","03",50.084220,20.072210,1,,0,,,0
55,108-04,"Mrozowa","04",50.084200,20.072340,1,,0,,,0
56,109-03,"Blokowa","03",50.085170,20.074240,1,,0,,,0
57,109-04,"Blokowa","04",50.085880,20.073830,1,,0,,,0
58,110-03,"Agencja Kraków Wschód","03",50.087590,20.079410,1,,0,,,0
59,111-02,"Walcownia","02",50.088860,20.080660,1,,0,,,0
65,113-01,"Arctowskiego","01",50.056980,20.001710,1,,0,,,0
66,113-02,"Arctowskiego","02",50.056460,20.000380,1,,0,,,0
67,114-01,"Centralna","01",50.064050,20.004060,1,,0,,,0
68,114-02,"Centralna","02",50.063090,20.003530,1,,0,,,0
71,115-03,"Rondo 308. Dywizjonu","03",50.067750,20.004580,1,,0,,,0
72,115-04,"Rondo 308. Dywizjonu","04",50.068200,20.004110,1,,0,,,0
77,116-03,"Gałczyńskiego","03",50.069240,20.013030,1,,0,,,0
78,116-04,"Gałczyńskiego","04",50.068810,20.012450,1,,0,,,0
82,117-03,"Bieńczycka","03",50.076450,20.021580,1,,0,,,0
83,117-04,"Bieńczycka","04",50.076310,20.021980,1,,0,,,0
88,118-05,"Rondo Kocmyrzowskie im. ks. Gorzelanego","05",50.078800,20.028100,1,,0,,,0
89,118-06,"Rondo Kocmyrzowskie im. ks. Gorzelanego","06",50.080350,20.026710,1,,0,,,0
90,118-07,"Rondo Kocmyrzowskie im. ks. Gorzelanego","07",50.078940,20.026080,1,,0,,,0
96,119-05,"Teatr Ludowy","05",50.081030,20.034060,1,,0,,,0
97,119-06,"Teatr Ludowy","06",50.081300,20.033400,1,,0,,,0
101,120-03,"Cienista","03",50.085650,20.038770,1,,0,,,0
102,120-04,"Cienista","04",50.085490,20.039170,1,,0,,,0
105,121-03,"Wańkowicza","03",50.087200,20.047650,1,,0,,,0
106,121-04,"Wańkowicza","04",50.086870,20.045930,1,,0,,,0
115,124-03,"Jarzębiny","03",50.092070,20.060250,1,,0,,,0
116,124-04,"Jarzębiny","04",50.091910,20.060560,1,,0,,,0
117,123-03,"Darwina","03",50.090380,20.059670,1,,0,,,0
118,123-04,"Darwina","04",50.090150,20.060240,1,,0,,,0
122,125-02,"Wzgórza Krzesławickie","02",50.095460,20.065450,1,,0,,,0
123,125-03,"Wzgórza Krzesławickie","03",50.094930,20.064590,1,,0,,,0
125,125-05,"Wzgórza Krzesławickie","05",50.095880,20.063860,1,,0,,,0
127,126-01,"Jubileuszowa","01",50.100970,20.069010,1,,0,,,0
129,127-01,"Morcinka","01",50.103690,20.072040,1,,0,,,0
133,128-01,"Kantorowice","01",50.104220,20.061700,1,,0,,,0
134,128-02,"Kantorowice","02",50.104090,20.062080,1,,0,,,0
135,128-04,"Kantorowice","04",50.104630,20.061590,1,,0,,,0
136,129-01,"Zesławice Ogródki Działkowe","01",50.105920,20.048730,1,,0,,,0
137,129-02,"Zesławice Ogródki Działkowe","02",50.105620,20.049670,1,,0,,,0
138,130-01,"Zesławice","01",50.106380,20.043590,1,,0,,,0
139,130-02,"Zesławice","02",50.106240,20.043860,1,,0,,,0
141,131-01,"Os. Oświecenia","01",50.089330,19.987640,1,,0,,,0
142,131-02,"Os. Oświecenia","02",50.088810,19.988590,1,,0,,,0
144,132-01,"Wiślicka","01",50.087800,20.000510,1,,0,,,0
145,132-02,"Wiślicka","02",50.087580,20.002120,1,,0,,,0
146,132-03,"Wiślicka","03",50.087180,20.001260,1,,0,,,0
147,132-04,"Wiślicka","04",50.088160,20.001520,1,,0,,,0
148,133-01,"Os. Strusia","01",50.086430,20.009560,1,,0,,,0
149,133-02,"Os. Strusia","02",50.086760,20.009170,1,,0,,,0
150,134-01,"Os. Na Lotnisku","01",50.086590,20.013880,1,,0,,,0
151,134-02,"Os. Na Lotnisku","02",50.086170,20.012860,1,,0,,,0
152,134-03,"Os. Na Lotnisku","03",50.085640,20.014120,1,,0,,,0
155,135-03,"DH Wanda","03",50.084250,20.020560,1,,0,,,0
156,135-04,"DH Wanda","04",50.084920,20.020410,1,,0,,,0
161,136-03,"Os. Zgody","03",50.076440,20.031280,1,,0,,,0
162,136-04,"Os. Zgody","04",50.077150,20.030800,1,,0,,,0
163,137-01,"Aleja Przyjaźni","01",50.075130,20.034160,1,,0,,,0
165,137-03,"Aleja Przyjaźni","03",50.075450,20.033730,1,,0,,,0
168,138-01,"Aleja Róż","01",50.075730,20.038590,1,,0,,,0
169,138-02,"Aleja Róż","02",50.075050,20.037860,1,,0,,,0
170,138-03,"Aleja Róż","03",50.074790,20.038870,1,,0,,,0
174,139-05,"Mistrzejowice","05",50.095890,19.996140,1,,0,,,0
178,140-03,"Miśnieńska","03",50.094620,20.000110,1,,0,,,0
179,140-04,"Miśnieńska","04",50.094400,20.000520,1,,0,,,0
182,141-03,"Os. Złotego Wieku","03",50.093980,20.004760,1,,0,,,0
183,141-04,"Os. Złotego Wieku","04",50.093930,20.004040,1,,0,,,0
184,142-01,"Łęczycka","01",50.092870,20.006270,1,,0,,,0
185,142-02,"Łęczycka","02",50.092870,20.006480,1,,0,,,0
188,143-03,"Rondo Piastowskie","03",50.094490,20.010940,1,,0,,,0
189,143-04,"Rondo Piastowskie","04",50.094160,20.011100,1,,0,,,0
192,144-03,"Kleeberga","03",50.095600,20.012920,1,,0,,,0
194,144-05,"Kleeberga","05",50.096190,20.014190,1,,0,,,0
195,145-01,"Kruszwicka","01",50.097470,20.019210,1,,0,,,0
196,145-02,"Kruszwicka","02",50.097740,20.020040,1,,0,,,0
197,146-01,"Popielidów","01",50.099310,20.017670,1,,0,,,0
198,146-02,"Popielidów","02",50.099450,20.019700,1,,0,,,0
201,147-03,"Piasta Kołodzieja","03",50.098640,20.013320,1,,0,,,0
203,147-06,"Piasta Kołodzieja","06",50.098080,20.013670,1,,0,,,0
205,148-02,"Os. Piastów","02",50.100890,20.012910,1,,0,,,0
206,148-03,"Os. Piastów","03",50.100640,20.013190,1,,0,,,0
211,151-01,"Os. Mistrzejowice Nowe","01",50.094910,20.021320,1,,0,,,0
212,151-02,"Os. Mistrzejowice Nowe","02",50.095160,20.020830,1,,0,,,0
214,152-02,"Fatimska","02",50.093370,20.027260,1,,0,,,0
221,156-02,"Os. Na Stoku","02",50.097820,20.050160,1,,0,,,0
223,157-01,"Os. Na Stoku Szkoła","01",50.093520,20.056300,1,,0,,,0
224,157-02,"Os. Na Stoku Szkoła","02",50.093200,20.056340,1,,0,,,0
233,161-03,"Dunikowskiego","03",50.092540,20.015750,1,,0,,,0
234,161-04,"Dunikowskiego","04",50.092060,20.015920,1,,0,,,0
239,162-03,"Rondo Hipokratesa","03",50.090060,20.023780,1,,0,,,0
240,162-04,"Rondo Hipokratesa","04",50.090380,20.022870,1,,0,,,0
244,163-01,"Os. Jagiellońskie","01",50.087920,20.027530,1,,0,,,0
245,163-02,"Os. Jagiellońskie","02",50.087780,20.027810,1,,0,,,0
246,164-01,"Arka Pana","01",50.083490,20.030390,1,,0,,,0
247,164-02,"Arka Pana","02",50.084040,20.029920,1,,0,,,0
253,167-01,"Żeromskiego","01",50.079110,20.038640,1,,0,,,0
254,167-02,"Żeromskiego","02",50.078110,20.039180,1,,0,,,0
255,168-01,"Os. Dywizjonu 303","01",50.084310,19.999600,1,,0,,,0
256,168-02,"Os. Dywizjonu 303","02",50.084780,20.000590,1,,0,,,0
259,170-01,"Medweckiego","01",50.076020,20.007330,1,,0,,,0
260,170-02,"Medweckiego","02",50.076310,20.007340,1,,0,,,0
261,171-01,"Dąbrowskiej","01",50.078140,20.014890,1,,0,,,0
262,171-02,"Dąbrowskiej","02",50.078140,20.014410,1,,0,,,0
263,172-01,"Os. Kościuszkowskie","01",50.082630,20.016810,1,,0,,,0
264,172-02,"Os. Kościuszkowskie","02",50.082790,20.016480,1,,0,,,0
265,173-01,"Sołtysowska","01",50.066040,20.011310,1,,0,,,0
266,173-02,"Sołtysowska","02",50.065500,20.011450,1,,0,,,0
268,174-01,"Sołtysowska Zakłady","01",50.064200,20.014190,1,,0,,,0
269,174-02,"Sołtysowska Zakłady","02",50.064110,20.014730,1,,0,,,0
270,175-01,"Sołtysowska Osiedle","01",50.064390,20.018520,1,,0,,,0
271,175-02,"Sołtysowska Osiedle","02",50.064280,20.018960,1,,0,,,0
272,177-01,"Siwka","01",50.057250,20.014640,1,,0,,,0
274,178-01,"Ogłęczyzna","01",50.058740,20.021410,1,,0,,,0
275,178-02,"Ogłęczyzna","02",50.058870,20.020810,1,,0,,,0
276,179-01,"Na Załęczu","01",50.060670,20.024060,1,,0,,,0
