route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"101",1634_PO,1634_22,"Kopiec Kościuszki",,0,101-01,1080117,0,0
"101",1635_PO,1635_3565,"Kopiec Kościuszki",,0,101-01,1081713,0,0
"100",1634_PO,1634_23,"Plac Na Stawach",,1,101-01,1080373,0,0
"100",1635_PO,1635_3567,"Plac Na Stawach",,1,101-01,1081970,0,0
"100",1634_PO,1634_24,"Kopiec Kościuszki",,0,101-01,1080372,0,0
"100",1635_PO,1635_3573,"Kopiec Kościuszki",,0,101-01,1081969,0,0
"101",1634_PO,1634_25,"Os. Podwawelskie",,1,101-01,1080118,0,0
"101",1635_PO,1635_3577,"Os. Podwawelskie",,1,101-01,1081714,0,0
"101",1634_PO,1634_26,"Kopiec Kościuszki",,0,101-01,1080117,0,0
"101",1635_PO,1635_3579,"Kopiec Kościuszki",,0,101-01,1081713,0,0
"100",1634_PO,1634_27,"Plac Na Stawach",,1,101-01,1080373,0,0
"100",1635_PO,1635_3584,"Plac Na Stawach",,1,101-01,1081970,0,0
"100",1634_PO,1634_28,"Kopiec Kościuszki",,0,101-01,1080372,0,0
"100",1635_PO,1635_3588,"Kopiec Kościuszki",,0,101-01,1081969,0,0
"101",1634_PO,1634_29,"Os. Podwawelskie",,1,101-01,1080118,0,0
"101",1635_PO,1635_3591,"Os. Podwawelskie",,1,101-01,1081714,0,0
"101",1634_PO,1634_30,"Kopiec Kościuszki",,0,101-01,1080117,0,0
"101",1635_PO,1635_3594,"Kopiec Kościuszki",,0,101-01,1081713,0,0
"100",1634_PO,1634_32,"Plac Na Stawach",,1,101-01,1080373,0,0
"100",1635_PO,1635_3598,"Plac Na Stawach",,1,101-01,1081970,0,0
"100",1634_PO,1634_34,"Kopiec Kościuszki",,0,101-01,1080372,0,0
"100",1635_PO,1635_3603,"Kopiec Kościuszki",,0,101-01,1081969,0,0
"101",1634_PO,1634_36,"Os. Podwawelskie",,1,101-01,1080118,0,0
