service_id,date,exception_type
service_2,20260627,1
service_3,20260628,1
service_1,20260629,1
service_1,20260630,1
service_1,20260701,1
service_5,20260702,1
service_4,20260703,1
service_2,20260704,1
service_3,20260705,1
service_1,20260706,1
service_1,20260707,1
service_1,20260708,1
service_5,20260709,1
service_4,20260710,1
service_2,20260711,1
service_3,20260712,1
service_1,20260713,1
service_1,20260714,1
service_1,20260715,1
service_5,20260716,1
service_4,20260717,1
service_2,20260718,1
service_3,20260719,1
service_1,20260720,1
service_1,20260721,1
service_1,20260722,1
service_5,20260723,1
service_4,20260724,1
service_2,20260725,1
service_3,20260726,1
service_1,20260727,1
service_1,20260728,1
service_1,20260729,1
service_5,20260730,1
service_4,20260731,1
service_2,20260801,1
service_3,20260802,1
service_1,20260803,1
service_1,20260804,1
service_1,20260805,1
service_5,20260806,1
service_4,20260807,1
service_2,20260808,1
service_3,20260809,1
service_1,20260810,1
service_1,20260811,1
service_1,20260812,1
service_5,20260813,1
service_4,20260814,1
service_3,20260815,1
service_3,20260816,1
service_1,20260817,1
service_1,20260818,1
service_1,20260819,1
service_5,20260820,1
service_4,20260821,1
service_2,20260822,1
service_3,20260823,1
service_1,20260824,1
service_1,20260825,1
service_1,20260826,1
service_5,20260827,1
service_4,20260828,1
service_2,20260829,1
service_3,20260830,1
service_1,20260831,1
service_1,20260901,1
service_1,20260902,1
service_5,20260903,1
service_4,20260904,1
service_2,20260905,1
service_3,20260906,1
service_1,20260907,1
service_1,20260908,1
service_1,20260909,1
service_5,20260910,1
service_4,20260911,1
service_2,20260912,1
service_3,20260913,1
service_1,20260914,1
service_1,20260915,1
service_1,20260916,1
service_5,20260917,1
service_4,20260918,1
service_2,20260919,1
service_3,20260920,1
service_1,20260921,1
service_1,20260922,1
service_1,20260923,1
service_5,20260924,1
service_4,20260925,1
