stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
stop_1_1,920-01,"Grodzki Urząd Pracy",01,50.0873,20.0596,,,0,,,,
stop_1_2,920-02,"Grodzki Urząd Pracy",02,50.0874,20.0597,,,0,,,,
stop_2_4,561-01,"Kościuszkowców","01",50.016651,19.929831,,,0,,,,
stop_2_5,561-02,"Kościuszkowców","02",50.015661,19.929342,,,0,,,,
stop_3_6,743-01,"Solvay","01",50.014606,19.927852,,,0,,,,
stop_3_7,743-02,"Solvay","02",50.014546,19.927822,,,0,,,,
stop_5_10,811-01,"Nullo","01",50.060001,19.966793,,,0,,,,
stop_5_11,811-02,"Nullo","02",50.060173,19.967382,,,0,,,,
stop_6_12,116-01,"Gałczyńskiego","01",50.0692,20.012191,,,0,,,,
stop_6_13,116-02,"Gałczyńskiego","02",50.069417,20.012742,,,0,,,,
stop_8_15,100-02,"AKF / PK","02",50.073967,19.99881,,,0,,,,
stop_8_16,100-01,"AKF / PK","01",50.074015,19.998685,,,0,,,,
stop_9_17,192-01,"Zalew Nowohucki",01,50.076158,20.052488,,,0,,,,
stop_9_18,192-02,"Zalew Nowohucki",02,50.076232,20.052439,,,0,,,,
stop_10_3,139-04,"Mistrzejowice",04,50.09486,19.995525,,,0,,,,
stop_11_22,292-01,"Kampus UP JP II","01",50.020377,19.897505,,,0,,,,
stop_11_23,292-02,"Kampus UP JP II","02",50.020825,19.898122,,,0,,,,
stop_12_19,105-02,"Plac Centralny im. R. Reagana","02",50.071704,20.035631,,,0,,,,
stop_12_20,105-01,"Plac Centralny im. R. Reagana","01",50.072961,20.036331,,,0,,,,
stop_12_21,105-02,"Plac Centralny im. R. Reagana","02",50.072556,20.038845,,,0,,,,
stop_12_24,105-01,"Plac Centralny im. R. Reagana","01",50.071283,20.038494,,,0,,,,
stop_13_25,118-01,"Rondo Kocmyrzowskie im. ks. Gorzelanego",01,50.080257,20.026561,,,0,,,,
stop_13_26,118-02,"Rondo Kocmyrzowskie im. ks. Gorzelanego",02,50.07905,20.026486,,,0,,,,
stop_13_27,118-03,"Rondo Kocmyrzowskie im. ks. Gorzelanego",03,50.080062,20.028408,,,0,,,,
stop_13_28,118-04,"Rondo Kocmyrzowskie im. ks. Gorzelanego",04,50.079056,20.02806,,,0,,,,
stop_183_6119,383-01,"Bratysławska","01",50.08373,19.93416,,,0,,,,
stop_183_6129,383-02,"Bratysławska","02",50.084645,19.933583,,,0,,,,
stop_186_7019,381-01,"Dworzec Towarowy","01",50.075988,19.940292,,,0,,,,
stop_186_7029,381-02,"Dworzec Towarowy","02",50.07592,19.94038,,,0,,,,
stop_186_7039,381-03,"Dworzec Towarowy","03",50.074994,19.93968,,,0,,,,
stop_187_7119,835-01,"Nowy Kleparz","01",50.07349,19.93663,,,0,,,,
stop_187_7129,835-02,"Nowy Kleparz","02",50.073508,19.936452,,,0,,,,
stop_188_7219,834-01,"Pędzichów","01",50.069678,19.937536,,,0,,,,
stop_188_7229,834-02,"Pędzichów","02",50.069646,19.937499,,,0,,,,
stop_189_7319,839-01,"Politechnika","01",50.071341,19.945059,,,0,,,,
stop_189_7329,839-02,"Politechnika","02",50.070807,19.945062,,,0,,,,
stop_189_7339,839-03,"Politechnika","03",50.071143,19.945072,,,0,,,,
stop_189_7349,839-04,"Politechnika","04",50.071056,19.945016,,,0,,,,
stop_196_8719,347-01,"Cichy Kącik","01",50.062955,19.903385,,,0,,,,
stop_199_11219,101-01,"Stella-Sawickiego","01",50.074273,20.004747,,,0,,,,
stop_199_11229,101-02,"Stella-Sawickiego","02",50.074302,20.00459,,,0,,,,
stop_202_12419,854-01,"Cmentarz Rakowicki","01",50.074262,19.957387,,,0,,,,
stop_202_12429,854-02,"Cmentarz Rakowicki","02",50.072948,19.956041,,,0,,,,
stop_203_12519,802-01,"Rondo Mogilskie","01",50.065782,19.959639,,,0,,,,
stop_203_12529,802-02,"Rondo Mogilskie","02",50.065759,19.959864,,,0,,,,
stop_203_12539,802-03,"Rondo Mogilskie","03",50.064865,19.959303,,,0,,,,
stop_203_12549,802-04,"Rondo Mogilskie","04",50.064973,19.959357,,,0,,,,
