trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_2_trip_2_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_3_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_4_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_5_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_6_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_7_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_8_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_9_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_10_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_11_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_12_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_13_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_2_trip_14_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_2,shape_23347,0
block_2_trip_15_service_1,route_31,service_1,Salwator,"",0,block_2,shape_20,0
block_5_trip_2_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_3_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_4_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_5_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_6_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_7_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_8_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_9_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_10_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_11_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_12_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_13_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_14_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_15_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_5_trip_16_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_5,shape_23347,0
block_5_trip_17_service_1,route_31,service_1,Salwator,"",0,block_5,shape_20,0
block_9_trip_2_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_9,shape_23347,0
block_9_trip_3_service_1,route_31,service_1,Salwator,"",0,block_9,shape_20,0
block_9_trip_4_service_1,route_31,service_1,Wzg. Krzesławickie,"",1,block_9,shape_23347,0
